#group,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,string,double,double,double,double,string,double,string,string,string,double,double,double,double,double,double,double,double,string,string,string,string,double,double,dateTime:RFC3339,string,string,string,string,double,double
#default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,applicationID,applicationName,data_boardVoltage,data_counter,data_counter_0d_0,data_counter_0d_1,devEUI,fCnt,fPort,host,nodeName,rxInfo_altitude_0,rxInfo_altitude_1,rxInfo_latitude_0,rxInfo_latitude_1,rxInfo_loRaSNR_0,rxInfo_loRaSNR_1,rxInfo_longitude_0,rxInfo_longitude_1,rxInfo_mac_0,rxInfo_mac_1,rxInfo_name_0,rxInfo_name_1,rxInfo_rssi_0,rxInfo_rssi_1,time,txInfo_adr,txInfo_codeRate,txInfo_dataRate_bandwidth,txInfo_dataRate_modulation,txInfo_dataRate_spreadFactor,txInfo_frequency
,17,SmartCampusMaua,2.137,189,1910,1378,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:25:31.835613188Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,3.042,196,739,589,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:25:38.864095922Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,3.781,203,3180,2490,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:25:45.824824641Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,1.369,210,2595,2538,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:25:52.814883854Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,3.144,217,773,2548,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:00.017056411Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,2.194,224,452,2,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:06.813934182Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,1.974,231,1682,488,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:13.817234822Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,3.835,238,2265,2898,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:20.912863316Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,3.092,245,891,2266,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:27.829437748Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,3.28,252,3640,3912,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:34.826012699Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,1.947,259,2434,1117,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:41.817416225Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,2.413,266,674,757,0004a30b00000001,135,100,d29a0b90e22b,SmartLight_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:48.836276204Z,true,4/5,125,LORA,9,916200000
