#group,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,string,double,double,string,double,string,string,string,double,double,double,double,double,double,double,double,string,string,string,string,double,double,dateTime:RFC3339,string,string,string,string,double,double
#default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,applicationID,applicationName,data_boardVoltage,data_counter,devEUI,fCnt,fPort,host,nodeName,rxInfo_altitude_0,rxInfo_altitude_1,rxInfo_latitude_0,rxInfo_latitude_1,rxInfo_loRaSNR_0,rxInfo_loRaSNR_1,rxInfo_longitude_0,rxInfo_longitude_1,rxInfo_mac_0,rxInfo_mac_1,rxInfo_name_0,rxInfo_name_1,rxInfo_rssi_0,rxInfo_rssi_1,time,txInfo_adr,txInfo_codeRate,txInfo_dataRate_bandwidth,txInfo_dataRate_modulation,txInfo_dataRate_spreadFactor,txInfo_frequency
,17,SmartCampusMaua,2.634,192,0004a30b00101001,135,100,d29a0b90e22b,Hidrometer_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:25:34.705144083Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,3.947,200,0004a30b00101001,135,100,d29a0b90e22b,Hidrometer_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:25:42.705626718Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,3.115,208,0004a30b00101001,135,100,d29a0b90e22b,Hidrometer_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:25:50.762479936Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,1.229,216,0004a30b00101001,135,100,d29a0b90e22b,Hidrometer_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:25:58.729235327Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,2.938,224,0004a30b00101001,135,100,d29a0b90e22b,Hidrometer_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:06.705048691Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,1.83,232,0004a30b00101001,135,100,d29a0b90e22b,Hidrometer_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:14.705622066Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,3.946,240,0004a30b00101001,135,100,d29a0b90e22b,Hidrometer_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:22.705208513Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,3.014,248,0004a30b00101001,135,100,d29a0b90e22b,Hidrometer_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:30.704923218Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,3.957,256,0004a30b00101001,135,100,d29a0b90e22b,Hidrometer_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:38.717536795Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,2.582,264,0004a30b00101001,135,100,d29a0b90e22b,Hidrometer_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:46.723628953Z,true,4/5,125,LORA,9,916200000
,17,SmartCampusMaua,0.694,272,0004a30b00101001,135,100,d29a0b90e22b,Hidrometer_1,777,758,-23.64946,-23.64891,11,11,-46.57367,-46.57413,7276ff000b031df7,7276ff00080801db,IMT-kerlink-blocoW2,IMT-kerlink-blocoH,-97,-100,2024-05-20T15:26:54.705638468Z,true,4/5,125,LORA,9,916200000
